JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2457845.47505,10.428,0.006,,V,HMB,,UCAC4 446-009849,UCAC4 445-009705,,STANDARD MAG: C = 11.674  K = 11.712,0,1.27,Z,18.015,18.063,,PDS 110,VVS,STD,,,,
2457845.47543,10.420,0.006,,V,HMB,,UCAC4 446-009849,UCAC4 445-009705,,STANDARD MAG: C = 11.674  K = 11.712,0,1.27,Z,18.018,18.059,,PDS 110,VVS,STD,,,,
2457846.47433,10.422,0.006,,V,HMB,,UCAC4 446-009849,UCAC4 445-009705,,STANDARD MAG: C = 11.674  K = 11.712,0,1.28,Z,17.946,18.010,,PDS 110,VVS,STD,,,,
2457846.47472,10.406,0.006,,V,HMB,,UCAC4 446-009849,UCAC4 445-009705,,STANDARD MAG: C = 11.674  K = 11.712,0,1.28,Z,17.959,18.008,,PDS 110,VVS,STD,,,,
2457847.47399,10.435,0.006,,V,HMB,,UCAC4 446-009849,UCAC4 445-009705,,STANDARD MAG: C = 11.674  K = 11.712,0,1.29,Z,17.938,17.999,,PDS 110,VVS,STD,,,,
2457847.47439,10.419,0.006,,V,HMB,,UCAC4 446-009849,UCAC4 445-009705,,STANDARD MAG: C = 11.674  K = 11.712,0,1.30,Z,17.956,18.007,,PDS 110,VVS,STD,,,,
2457848.47309,10.416,0.006,,V,HMB,,UCAC4 446-009849,UCAC4 445-009705,,STANDARD MAG: C = 11.674  K = 11.712,0,1.30,Z,17.921,17.976,,PDS 110,VVS,STD,,,,
2457848.47348,10.431,0.005,,V,HMB,,UCAC4 446-009849,UCAC4 445-009705,,STANDARD MAG: C = 11.674  K = 11.712,0,1.31,Z,17.913,17.987,,PDS 110,VVS,STD,,,,
2457849.47291,10.426,0.006,,V,HMB,,UCAC4 446-009849,UCAC4 445-009705,,STANDARD MAG: C = 11.674  K = 11.712,0,1.32,Z,17.929,17.995,,PDS 110,VVS,STD,,,,
2457849.47330,10.430,0.006,,V,HMB,,UCAC4 446-009849,UCAC4 445-009705,,STANDARD MAG: C = 11.674  K = 11.712,0,1.32,Z,17.926,17.980,,PDS 110,VVS,STD,,,,
2457850.47178,10.425,0.006,,V,HMB,,UCAC4 446-009849,UCAC4 445-009705,,STANDARD MAG: C = 11.674  K = 11.712,0,1.33,Z,17.964,18.022,,PDS 110,VVS,STD,,,,
2457850.47216,10.407,0.006,,V,HMB,,UCAC4 446-009849,UCAC4 445-009705,,STANDARD MAG: C = 11.674  K = 11.712,0,1.33,Z,17.977,18.011,,PDS 110,VVS,STD,,,,
2457851.47128,10.423,0.006,,V,HMB,,UCAC4 446-009849,UCAC4 445-009705,,STANDARD MAG: C = 11.674  K = 11.712,0,1.34,Z,17.984,18.028,,PDS 110,VVS,STD,,,,
2457851.47168,10.430,0.006,,V,HMB,,UCAC4 446-009849,UCAC4 445-009705,,STANDARD MAG: C = 11.674  K = 11.712,0,1.34,Z,17.976,18.019,,PDS 110,VVS,STD,,,,
2457852.47079,10.432,0.006,,V,HMB,,UCAC4 446-009849,UCAC4 445-009705,,STANDARD MAG: C = 11.674  K = 11.712,0,1.36,Z,17.969,18.027,,PDS 110,VVS,STD,,,,
2457852.47117,10.440,0.006,,V,HMB,,UCAC4 446-009849,UCAC4 445-009705,,STANDARD MAG: C = 11.674  K = 11.712,0,1.36,Z,17.956,18.011,,PDS 110,VVS,STD,,,,
2457854.46981,10.428,0.006,,V,HMB,,UCAC4 446-009849,UCAC4 445-009705,,STANDARD MAG: C = 11.674  K = 11.712,0,1.39,Z,17.964,18.009,,PDS 110,VVS,STD,,,,
2457854.47020,10.424,0.006,,V,HMB,,UCAC4 446-009849,UCAC4 445-009705,,STANDARD MAG: C = 11.674  K = 11.712,0,1.39,Z,17.965,17.999,,PDS 110,VVS,STD,,,,
2457855.46916,10.420,0.006,,V,HMB,,UCAC4 446-009849,UCAC4 445-009705,,STANDARD MAG: C = 11.674  K = 11.712,0,1.40,Z,18.010,18.046,,PDS 110,VVS,STD,,,,
2457855.46955,10.419,0.006,,V,HMB,,UCAC4 446-009849,UCAC4 445-009705,,STANDARD MAG: C = 11.674  K = 11.712,0,1.40,Z,18.007,18.053,,PDS 110,VVS,STD,,,,
2457856.46837,10.436,0.006,,V,HMB,,UCAC4 446-009849,UCAC4 445-009705,,STANDARD MAG: C = 11.674  K = 11.712,0,1.42,Z,17.999,18.053,,PDS 110,VVS,STD,,,,
2457856.46876,10.408,0.006,,V,HMB,,UCAC4 446-009849,UCAC4 445-009705,,STANDARD MAG: C = 11.674  K = 11.712,0,1.42,Z,18.025,18.055,,PDS 110,VVS,STD,,,,
2457857.46741,10.415,0.006,,V,HMB,,UCAC4 446-009849,UCAC4 445-009705,,STANDARD MAG: C = 11.674  K = 11.712,0,1.43,Z,17.997,18.041,,PDS 110,VVS,STD,,,,
2457857.46779,10.396,0.006,,V,HMB,,UCAC4 446-009849,UCAC4 445-009705,,STANDARD MAG: C = 11.674  K = 11.712,0,1.43,Z,18.012,18.041,,PDS 110,VVS,STD,,,,
2457858.46736,10.404,0.007,,V,HMB,,UCAC4 446-009849,UCAC4 445-009705,,STANDARD MAG: C = 11.674  K = 11.712,0,1.45,Z,18.285,18.332,,PDS 110,VVS,STD,,,,
2457858.46774,10.407,0.007,,V,HMB,,UCAC4 446-009849,UCAC4 445-009705,,STANDARD MAG: C = 11.674  K = 11.712,0,1.45,Z,18.243,18.305,,PDS 110,VVS,STD,,,,
2457859.46638,10.426,0.006,,V,HMB,,UCAC4 446-009849,UCAC4 445-009705,,STANDARD MAG: C = 11.674  K = 11.712,0,1.47,Z,18.033,18.057,,PDS 110,VVS,STD,,,,
2457859.46676,10.438,0.006,,V,HMB,,UCAC4 446-009849,UCAC4 445-009705,,STANDARD MAG: C = 11.674  K = 11.712,0,1.47,Z,18.018,18.068,,PDS 110,VVS,STD,,,,
2457860.46412,10.434,0.006,,V,HMB,,UCAC4 446-009849,UCAC4 445-009705,,STANDARD MAG: C = 11.674  K = 11.712,0,1.47,Z,18.018,18.061,,PDS 110,VVS,STD,,,,
2457860.46450,10.450,0.006,,V,HMB,,UCAC4 446-009849,UCAC4 445-009705,,STANDARD MAG: C = 11.674  K = 11.712,0,1.47,Z,18.009,18.076,,PDS 110,VVS,STD,,,,
2457861.46377,10.427,0.006,,V,HMB,,UCAC4 446-009849,UCAC4 445-009705,,STANDARD MAG: C = 11.674  K = 11.712,0,1.49,Z,17.960,18.021,,PDS 110,VVS,STD,,,,
2457861.46417,10.438,0.006,,V,HMB,,UCAC4 446-009849,UCAC4 445-009705,,STANDARD MAG: C = 11.674  K = 11.712,0,1.49,Z,17.983,18.064,,PDS 110,VVS,STD,,,,
2457863.46275,10.425,0.006,,V,HMB,,UCAC4 446-009849,UCAC4 445-009705,,STANDARD MAG: C = 11.674  K = 11.712,0,1.53,Z,18.010,18.061,,PDS 110,VVS,STD,,,,
2457863.46315,10.429,0.006,,V,HMB,,UCAC4 446-009849,UCAC4 445-009705,,STANDARD MAG: C = 11.674  K = 11.712,0,1.54,Z,18.006,18.052,,PDS 110,VVS,STD,,,,
2457864.46185,10.431,0.008,,V,HMB,,UCAC4 446-009849,UCAC4 445-009705,,STANDARD MAG: C = 11.674  K = 11.712,0,1.55,Z,18.241,18.269,,PDS 110,VVS,STD,,,,
2457864.46223,10.442,0.008,,V,HMB,,UCAC4 446-009849,UCAC4 445-009705,,STANDARD MAG: C = 11.674  K = 11.712,0,1.55,Z,18.345,18.388,,PDS 110,VVS,STD,,,,
2457865.46169,10.431,0.006,,V,HMB,,UCAC4 446-009849,UCAC4 445-009705,,STANDARD MAG: C = 11.674  K = 11.712,0,1.58,Z,18.030,18.068,,PDS 110,VVS,STD,,,,
2457865.46208,10.430,0.006,,V,HMB,,UCAC4 446-009849,UCAC4 445-009705,,STANDARD MAG: C = 11.674  K = 11.712,0,1.58,Z,18.035,18.071,,PDS 110,VVS,STD,,,,
2457866.46084,10.449,0.007,,V,HMB,,UCAC4 446-009849,UCAC4 445-009705,,STANDARD MAG: C = 11.674  K = 11.712,0,1.60,Z,18.065,18.123,,PDS 110,VVS,STD,,,,
2457866.46123,10.416,0.007,,V,HMB,,UCAC4 446-009849,UCAC4 445-009705,,STANDARD MAG: C = 11.674  K = 11.712,0,1.60,Z,18.074,18.119,,PDS 110,VVS,STD,,,,
2457867.46064,10.432,0.007,,V,HMB,,UCAC4 446-009849,UCAC4 445-009705,,STANDARD MAG: C = 11.674  K = 11.712,0,1.62,Z,18.034,18.097,,PDS 110,VVS,STD,,,,
2457867.46102,10.428,0.006,,V,HMB,,UCAC4 446-009849,UCAC4 445-009705,,STANDARD MAG: C = 11.674  K = 11.712,0,1.63,Z,18.040,18.087,,PDS 110,VVS,STD,,,,
2457868.46023,10.444,0.006,,V,HMB,,UCAC4 446-009849,UCAC4 445-009705,,STANDARD MAG: C = 11.674  K = 11.712,0,1.65,Z,17.999,18.056,,PDS 110,VVS,STD,,,,
2457868.46063,10.422,0.006,,V,HMB,,UCAC4 446-009849,UCAC4 445-009705,,STANDARD MAG: C = 11.674  K = 11.712,0,1.66,Z,18.017,18.071,,PDS 110,VVS,STD,,,,
2457869.45919,10.432,0.007,,V,HMB,,UCAC4 446-009849,UCAC4 445-009705,,STANDARD MAG: C = 11.674  K = 11.712,0,1.67,Z,18.010,18.061,,PDS 110,VVS,STD,,,,
2457869.45957,10.446,0.007,,V,HMB,,UCAC4 446-009849,UCAC4 445-009705,,STANDARD MAG: C = 11.674  K = 11.712,0,1.68,Z,17.998,18.072,,PDS 110,VVS,STD,,,,
2457870.45932,10.413,0.007,,V,HMB,,UCAC4 446-009849,UCAC4 445-009705,,STANDARD MAG: C = 11.674  K = 11.712,0,1.71,Z,18.038,18.091,,PDS 110,VVS,STD,,,,
2457870.45971,10.436,0.007,,V,HMB,,UCAC4 446-009849,UCAC4 445-009705,,STANDARD MAG: C = 11.674  K = 11.712,0,1.71,Z,18.025,18.082,,PDS 110,VVS,STD,,,,
2457871.45854,10.447,0.007,,V,HMB,,UCAC4 446-009849,UCAC4 445-009705,,STANDARD MAG: C = 11.674  K = 11.712,0,1.73,Z,18.026,18.078,,PDS 110,VVS,STD,,,,
2457871.45892,10.450,0.007,,V,HMB,,UCAC4 446-009849,UCAC4 445-009705,,STANDARD MAG: C = 11.674  K = 11.712,0,1.74,Z,18.029,18.097,,PDS 110,VVS,STD,,,,
2457872.45840,10.415,0.007,,V,HMB,,UCAC4 446-009849,UCAC4 445-009705,,STANDARD MAG: C = 11.674  K = 11.712,0,1.77,Z,18.044,18.074,,PDS 110,VVS,STD,,,,
2457872.45880,10.438,0.007,,V,HMB,,UCAC4 446-009849,UCAC4 445-009705,,STANDARD MAG: C = 11.674  K = 11.712,0,1.78,Z,18.028,18.058,,PDS 110,VVS,STD,,,,
2457873.45773,10.450,0.007,,V,HMB,,UCAC4 446-009849,UCAC4 445-009705,,STANDARD MAG: C = 11.674  K = 11.712,0,1.80,Z,18.025,18.067,,PDS 110,VVS,STD,,,,
2457873.45813,10.447,0.007,,V,HMB,,UCAC4 446-009849,UCAC4 445-009705,,STANDARD MAG: C = 11.674  K = 11.712,0,1.81,Z,18.032,18.077,,PDS 110,VVS,STD,,,,
2457874.45723,10.486,0.007,,V,HMB,,UCAC4 446-009849,UCAC4 445-009705,,STANDARD MAG: C = 11.674  K = 11.712,0,1.84,Z,18.033,18.085,,PDS 110,VVS,STD,,,,
2457874.45762,10.486,0.007,,V,HMB,,UCAC4 446-009849,UCAC4 445-009705,,STANDARD MAG: C = 11.674  K = 11.712,0,1.84,Z,18.030,18.079,,PDS 110,VVS,STD,,,,
2457875.45693,10.448,0.007,,V,HMB,,UCAC4 446-009849,UCAC4 445-009705,,STANDARD MAG: C = 11.674  K = 11.712,0,1.88,Z,18.047,18.069,,PDS 110,VVS,STD,,,,
2457875.45731,10.456,0.007,,V,HMB,,UCAC4 446-009849,UCAC4 445-009705,,STANDARD MAG: C = 11.674  K = 11.712,0,1.88,Z,18.032,18.078,,PDS 110,VVS,STD,,,,
2457876.45677,10.422,0.008,,V,HMB,,UCAC4 446-009849,UCAC4 445-009705,,STANDARD MAG: C = 11.674  K = 11.712,0,1.92,Z,18.103,18.155,,PDS 110,VVS,STD,,,,
2457876.45715,10.438,0.008,,V,HMB,,UCAC4 446-009849,UCAC4 445-009705,,STANDARD MAG: C = 11.674  K = 11.712,0,1.93,Z,18.110,18.180,,PDS 110,VVS,STD,,,,
2457877.45612,10.437,0.008,,V,HMB,,UCAC4 446-009849,UCAC4 445-009705,,STANDARD MAG: C = 11.674  K = 11.712,0,1.96,Z,18.102,18.170,,PDS 110,VVS,STD,,,,
2457877.45652,10.418,0.008,,V,HMB,,UCAC4 446-009849,UCAC4 445-009705,,STANDARD MAG: C = 11.674  K = 11.712,0,1.96,Z,18.088,18.124,,PDS 110,VVS,STD,,,,
2457878.45541,10.430,0.008,,V,HMB,,UCAC4 446-009849,UCAC4 445-009705,,STANDARD MAG: C = 11.674  K = 11.712,0,2.00,Z,18.100,18.157,,PDS 110,VVS,STD,,,,
2457878.45580,10.437,0.008,,V,HMB,,UCAC4 446-009849,UCAC4 445-009705,,STANDARD MAG: C = 11.674  K = 11.712,0,2.00,Z,18.085,18.153,,PDS 110,VVS,STD,,,,
2457879.45498,10.429,0.008,,V,HMB,,UCAC4 446-009849,UCAC4 445-009705,,STANDARD MAG: C = 11.674  K = 11.712,0,2.04,Z,18.082,18.139,,PDS 110,VVS,STD,,,,
2457879.45536,10.420,0.008,,V,HMB,,UCAC4 446-009849,UCAC4 445-009705,,STANDARD MAG: C = 11.674  K = 11.712,0,2.05,Z,18.086,18.139,,PDS 110,VVS,STD,,,,
2457880.45508,10.450,0.008,,V,HMB,,UCAC4 446-009849,UCAC4 445-009705,,STANDARD MAG: C = 11.674  K = 11.712,0,2.10,Z,18.073,18.122,,PDS 110,VVS,STD,,,,
